Function Freq (Hz)   Sampling Freq (Hz)   Nyquist Freq (Hz)    Alias Freq (Hz)     
500                  2000                 1000                 500                 
600                  2000                 1000                 600                 
700                  2000                 1000                 700                 
800                  2000                 1000                 800                 
900                  2000                 1000                 900                 
1000                 2000                 1000                 1000                
1100                 2000                 1000                 900                 
1200                 2000                 1000                 800                 
1300                 2000                 1000                 700                 
1400                 2000                 1000                 600                 
1500                 2000                 1000                 500                 
1600                 2000                 1000                 400                 
1700                 2000                 1000                 300                 
1800                 2000                 1000                 200                 
1900                 2000                 1000                 100                 
2000                 2000                 1000                 0                   
2100                 2000                 1000                 100                 
2200                 2000                 1000                 200                 
2300                 2000                 1000                 300                 
2400                 2000                 1000                 400                 
2500                 2000                 1000                 500                 
