Time_s,Input_Voltage_V,Output_Voltage_V
0,0.0770608568912224,-0.426545096057818
0.0001,0.0471469326428912,-0.379208755582534
0.0002,0.0159181098554171,-0.362115077674049
0.0003,-0.0149819892745194,-0.350280993150818
0.0004,-0.0465395381556541,-0.343049052681881
0.0005,-0.0761247410143189,-0.337460735084557
0.0006,-0.105709944647137,-0.332529866643571
0.0007,-0.132665353089356,-0.328585171909118
0.0008,-0.158305864179174,-0.32661282454799
0.0009,-0.18098785527157,-0.323983028072798
0.001,-0.200711326184137,-0.322339405279463
0.0011,-0.217147552230725,-0.321024507046819
0.0012,-0.230953982313075,-0.320038333373516
0.0013,-0.239829544607684,-0.319709608815973
0.0014,-0.246075310713499,-0.319052159701224
0.0015,-0.248047657912843,-0.319052159701224
0.0016,-0.24574658618065,-0.319380884258542
0.0017,-0.239829544607684,-0.319709608815973
0.0018,-0.2302965332573,-0.320695782488939
0.0019,-0.216490103183828,-0.321353231604812
0.002,-0.199725152629647,-0.32299685439646
0.0021,-0.180001681735694,-0.32464047719092
0.0022,-0.157319690664402,-0.32661282454799
0.0023,-0.131679179598054,-0.329900070152128
0.0024,-0.104066322202503,-0.333844764892008
0.0025,-0.0751385675733155,-0.338446908775816
0.0026,-0.044895915796986,-0.344692675510882
0.0027,-0.013995815885658,-0.352910789698689
0.0028,0.0169042832188172,-0.365073598828141
0.0029,0.0481331059811661,-0.386440696330655
0.003,0.0783757546440922,-0.442323876764053
0.0031,0.106974780435085,-0.519902885994777
0.0032,0.134258907902649,-0.5452146828834
0.0033,0.15957068830614,-0.553761523561778
0.0034,0.181923948530373,-0.56165091503419
0.0035,0.201976137542544,-0.568225407984556
0.0036,0.219069806639425,-0.575786074941435
0.0037,0.231561333927378,-0.57611479959329
0.0038,0.241423065920787,-0.578744596812808
0.0039,0.247340105084912,-0.576443524245275
0.004,0.248983727070721,-0.577100973549635
0.0041,0.24701138068753,-0.57742969820201
0.0042,0.2407656171233,-0.575786074941435
0.0043,0.231561333927378,-0.577100973549635
0.0044,0.218083633427865,-0.575128625638114
0.0045,0.201647413134818,-0.572498828430021
0.0046,0.181266499705423,-0.566581784742122
0.0047,0.158584515052548,-0.563623262913879
0.0048,0.132944010206293,-0.550145552494977
0.0049,0.105659882711463,-0.522861407670276
0.005,0.0767321324527923,-0.438707906161072
0.0051,0.0471469326428912,-0.381838552211686
0.0052,0.0159181098554171,-0.363101251391042
0.0053,-0.0149819892745194,-0.351595891423838
0.0054,-0.0458820892119064,-0.34370650181314
0.0055,-0.0764534654948445,-0.337789459648196
0.0056,-0.105381220158015,-0.332858591205511
0.0057,-0.132994077586656,-0.329242621030397
0.0058,-0.157977139674149,-0.32661282454799
0.0059,-0.18098785527157,-0.324311752631803
0.006,-0.200711326184137,-0.322668129837905
0.0061,-0.217476276754331,-0.321353231604812
0.0062,-0.230625257785135,-0.320367057931172
0.0063,-0.240158269138607,-0.320038333373516
0.0064,-0.246075310713499,-0.318723435144018
0.0065,-0.248047657912843,-0.319052159701224
0.0066,-0.24574658618065,-0.320038333373516
0.0067,-0.239829544607684,-0.319709608815973
0.0068,-0.2302965332573,-0.320038333373516
0.0069,-0.216818827707224,-0.321353231604812
0.007,-0.200382601665869,-0.322668129837905
0.0071,-0.17967295722394,-0.32496920175015
0.0072,-0.15699096615968,-0.326941549107896
0.0073,-0.132336628592156,-0.330228794713163
0.0074,-0.104395046691234,-0.334502214016906
0.0075,-0.0751385675733155,-0.339433082468097
0.0076,-0.0452246402685326,-0.346007573776135
0.0077,-0.013995815885658,-0.354883137114403
0.0078,0.0172330076731055,-0.368360844565872
0.0079,0.0481331059811661,-0.395973709221448
0.008,0.0780470302060023,-0.484729351296809
0.0081,0.106646056004304,-0.553761523561778
0.0082,0.133930183478682,-0.575128625638114
0.0083,0.159241963888356,-0.58531908989804
0.0084,0.181923948530373,-0.591893583035468
0.0085,0.201647413134818,-0.60076914885411
0.0086,0.218412357831794,-0.601097873515899
0.0087,0.231890058328235,-0.605700018794766
0.0088,0.2407656171233,-0.607343642114909
0.0089,0.247340105084912,-0.606686192786456
0.009,0.248983727070721,-0.608987265438351
0.0091,0.246682656290075,-0.606686192786456
0.0092,0.24109434152208,-0.604385120141026
0.0093,0.230903885125441,-0.599454250208271
0.0094,0.218083633427865,-0.597153177583112
0.0095,0.200989964319135,-0.593865930986901
0.0096,0.180937775292832,-0.585976539209431
0.0097,0.158255790634525,-0.574142451684106
0.0098,0.132944010206293,-0.558692393223354
0.0099,0.10533115828035,-0.532065697392835
0.01,0.0767321324527923,-0.444953673575392
0.0101,0.0471469326428912,-0.382167276790854
0.0102,0.016246834309973,-0.362772526818596
0.0103,-0.015310713737656,-0.350938442287099
0.0104,-0.0462108136837335,-0.342062878985848
0.0105,-0.0764534654948445,-0.336803285957618
0.0106,-0.105709944647137,-0.332201142081745
0.0107,-0.132994077586656,-0.328913896469701
0.0108,-0.157977139674149,-0.326284099988196
0.0109,-0.18098785527157,-0.324311752631803
0.011,-0.201040050702508,-0.322010680721133
0.0111,-0.217476276754331,-0.320695782488939
0.0112,-0.230953982313075,-0.320038333373516
