Lab 9: First-Order System Transient Response — Analysis Results
================================================================

Designed fc         : 64.00 Hz
Expected tau        : 2.4868 ms   [tau = 1 / (2*pi*fc)]

Method 1 | 95% threshold  (t = 3*tau):
  Mean tau = 3.7191 ms  |  Std Dev = 0.2294 ms
  Derived fc = 42.79 Hz

Method 2 | 99.3% threshold  (t = 5*tau):
  Mean tau = 5.0085 ms  |  Std Dev = 3.4343 ms
  Derived fc = 31.78 Hz

Method 3 | Exponential Curve Fit:
  Mean tau = 3.7388 ms  |  Std Dev = 0.1183 ms
  Derived fc = 42.57 Hz

----------------------------------------------------------------
Per-Run Values:
Run     tau_M1 (ms)   tau_M2 (ms)   tau_M3 (ms) 
1       3.1767        2.6060        3.5860      
2       3.7300        3.5200        3.9551      
3       3.9633        4.2920        3.9674      
4       3.4700        3.0080        3.5736      
5       2.9000        2.0900        4.0728      
6       3.8300        4.8120        3.7792      
7       3.7900        4.7860        3.7849      
8       3.7733        4.3740        3.7946      
9       3.8933        6.2520        3.7883      
10      3.9000        5.7300        3.8047      
11      3.6733        3.5180        3.8107      
12      3.7733        4.1320        3.8044      
13      3.8600        4.7920        3.8072      
14      3.8800        5.2140        3.7991      
15      3.7433        3.9040        3.7974      
16      4.1533        12.9120       3.7432      
17      3.8367        4.4880        3.7394      
18      3.6967        3.8100        3.7496      
19      3.6400        3.6180        3.7215      
20      3.5800        3.3400        3.7180      
21      3.6600        3.8800        3.6694      
22      3.7033        4.0920        3.6635      
23      3.7867        4.8140        3.6529      
24      3.8167        4.6860        3.6390      
25      3.8133        5.2260        3.6302      
26      3.6400        3.6920        3.6540      
27      3.8967        20.4520       3.6075      
28      3.6200        3.8200        3.6052      
29      3.6867        4.2260        3.6265      
30      3.6867        4.1680        3.6180      
